iter	Passed	Remaining
207	428	1633
208	431	1631
209	433	1630
210	435	1628
211	437	1626
212	439	1623
213	441	1622
214	443	1619
215	445	1617
216	447	1614
217	449	1612
218	451	1609
219	453	1606
220	455	1604
221	457	1602
222	459	1600
223	461	1597
224	463	1595
225	465	1593
226	467	1590
227	468	1587
228	470	1585
229	472	1583
230	475	1582
231	477	1579
232	479	1577
233	481	1575
234	482	1572
235	484	1569
236	486	1567
237	488	1564
238	490	1561
239	492	1559
240	494	1556
241	496	1554
242	498	1551
243	499	1548
244	501	1546
245	503	1543
246	505	1540
247	507	1538
248	509	1536
249	511	1533
250	512	1530
251	514	1528
252	516	1525
253	518	1523
254	520	1521
255	522	1518
256	524	1515
257	526	1513
258	528	1510
259	529	1508
260	531	1505
261	533	1503
262	535	1500
263	537	1498
264	539	1495
265	541	1493
266	543	1492
267	545	1490
268	547	1488
269	549	1486
270	551	1484
271	554	1482
272	556	1481
273	558	1480
274	561	1479
275	563	1477
276	565	1475
277	567	1472
278	569	1470
279	571	1468
280	573	1466
281	574	1463
282	576	1460
283	578	1458
284	580	1456
285	582	1455
286	584	1452
287	586	1450
288	588	1448
289	590	1446
290	592	1444
291	595	1443
292	597	1441
293	599	1439
294	601	1436
295	603	1435
296	605	1432
297	607	1430
298	609	1428
299	611	1426
300	613	1424
301	615	1423
302	617	1421
303	620	1419
304	622	1417
305	623	1414
306	626	1413
307	628	1411
308	630	1409
309	632	1406
310	634	1406
311	636	1404
312	638	1402
313	640	1399
314	642	1397
315	644	1394
316	646	1392
317	648	1390
318	650	1387
319	652	1386
320	654	1383
321	656	1381
322	657	1378
323	659	1376
324	661	1373
325	663	1371
326	665	1369
327	667	1366
328	669	1364
329	670	1362
330	672	1359
331	674	1357
332	676	1355
333	678	1352
334	680	1350
335	682	1348
336	684	1345
337	686	1343
338	687	1341
339	689	1339
340	691	1336
341	693	1334
342	695	1331
343	697	1329
344	699	1327
345	700	1324
346	702	1322
347	704	1320
348	706	1317
349	708	1315
350	710	1313
351	712	1311
352	714	1308
353	716	1307
354	718	1304
355	720	1302
356	722	1300
357	724	1298
358	725	1296
359	727	1293
360	729	1291
361	731	1289
362	733	1286
363	735	1284
364	737	1282
365	739	1280
366	741	1278
367	742	1275
368	744	1273
369	746	1271
370	748	1268
371	750	1267
372	753	1265
373	755	1264
374	757	1262
375	759	1260
376	761	1258
377	764	1257
378	766	1255
379	768	1253
380	769	1250
381	772	1249
382	774	1247
383	775	1244
384	778	1243
385	780	1241
386	782	1239
387	784	1236
388	785	1234
389	787	1232
390	789	1229
391	792	1228
392	794	1226
393	796	1224
394	797	1222
395	799	1219
396	801	1217
397	803	1215
398	805	1213
399	807	1210
400	808	1208
401	810	1206
402	812	1203
403	814	1201
404	816	1199
405	818	1197
406	820	1195
407	822	1192
408	823	1190
409	825	1188
410	827	1185
411	829	1183
412	831	1181
413	833	1179
414	835	1177
415	837	1175
416	839	1173
417	841	1170
418	842	1168
419	844	1166
420	846	1164
421	848	1162
422	850	1159
423	852	1157
424	853	1155
425	855	1152
426	857	1150
427	859	1148
428	861	1146
429	863	1144
430	865	1141
431	866	1139
432	868	1137
433	871	1136
434	873	1134
435	875	1132
436	877	1130
437	879	1128
438	881	1125
439	883	1124
440	885	1121
441	887	1119
442	888	1117
443	891	1115
444	893	1113
445	895	1112
446	897	1110
447	899	1108
448	901	1106
449	903	1104
450	905	1102
451	908	1100
452	910	1099
453	912	1097
454	914	1094
