iter	Passed	Remaining
671	1358	663
672	1360	661
673	1362	659
674	1364	657
675	1366	655
676	1368	653
677	1371	651
678	1372	649
679	1374	646
680	1376	644
681	1378	642
682	1380	640
683	1382	638
684	1384	636
685	1386	634
686	1388	632
687	1390	630
688	1392	628
689	1395	626
690	1397	624
691	1398	622
692	1401	620
693	1402	618
694	1404	616
695	1406	614
696	1408	612
697	1410	610
698	1412	608
699	1414	606
700	1416	604
701	1418	602
702	1420	600
703	1422	598
704	1424	596
705	1426	594
706	1428	592
707	1430	590
708	1433	588
709	1434	586
710	1436	583
711	1438	582
712	1440	579
713	1442	577
714	1444	575
715	1446	573
716	1448	571
717	1450	569
718	1452	567
719	1454	565
720	1456	563
721	1458	561
722	1459	559
723	1462	557
724	1463	555
725	1465	553
726	1467	551
727	1469	549
728	1471	546
729	1473	545
730	1475	542
731	1477	540
732	1479	538
733	1481	536
734	1483	534
735	1485	532
736	1486	530
737	1488	528
738	1490	526
739	1492	524
740	1494	522
741	1496	520
742	1498	518
743	1500	516
744	1502	514
745	1504	512
746	1505	510
747	1507	507
748	1509	505
749	1511	503
750	1513	501
751	1515	499
752	1517	497
753	1519	495
754	1521	493
755	1523	491
756	1525	489
757	1527	487
758	1529	485
759	1531	483
760	1533	481
761	1535	479
762	1538	477
763	1540	475
764	1542	473
765	1544	471
766	1546	469
767	1548	467
768	1549	465
769	1551	463
770	1553	461
771	1555	459
772	1557	457
773	1559	455
774	1561	453
775	1563	451
776	1565	449
777	1566	447
778	1568	445
779	1570	443
780	1572	441
781	1574	438
782	1576	436
783	1578	434
784	1580	432
785	1582	430
786	1584	428
787	1586	426
788	1587	424
789	1589	422
790	1591	420
791	1593	418
792	1595	416
793	1597	414
794	1599	412
795	1601	410
796	1603	408
797	1605	406
798	1606	404
799	1608	402
800	1610	400
801	1612	398
802	1614	396
803	1616	393
804	1618	391
805	1619	389
806	1621	387
807	1623	385
808	1625	383
809	1628	381
810	1629	379
811	1631	377
812	1633	375
813	1635	373
814	1637	371
815	1639	369
816	1641	367
817	1643	365
818	1645	363
819	1647	361
820	1649	359
821	1651	357
822	1653	355
823	1655	353
824	1657	351
825	1659	349
826	1661	347
827	1662	345
828	1664	343
829	1666	341
830	1668	339
831	1670	337
832	1672	335
833	1674	333
834	1676	331
835	1678	329
836	1680	327
837	1682	325
838	1684	323
839	1686	321
840	1688	319
841	1690	317
842	1692	315
843	1694	313
844	1695	311
845	1697	309
846	1699	307
847	1701	304
848	1703	302
849	1705	300
850	1707	298
851	1709	296
852	1711	294
853	1713	292
854	1715	290
855	1718	289
856	1720	287
857	1722	285
858	1724	283
859	1726	281
860	1728	279
861	1731	277
862	1734	275
863	1736	273
864	1738	271
865	1740	269
866	1742	267
867	1744	265
868	1746	263
869	1748	261
870	1750	259
871	1752	257
872	1754	255
873	1756	253
874	1758	251
875	1760	249
876	1762	247
877	1764	245
878	1766	243
879	1768	241
880	1770	239
881	1772	237
882	1774	235
883	1776	233
884	1778	231
885	1780	229
886	1782	227
887	1784	225
888	1786	223
889	1788	221
890	1790	219
891	1792	217
892	1794	215
893	1796	213
894	1798	211
895	1800	209
896	1802	207
897	1804	204
898	1806	202
899	1808	200
900	1810	198
901	1812	196
902	1814	194
903	1816	192
904	1818	190
905	1820	188
906	1822	186
907	1825	184
908	1827	182
909	1829	180
910	1831	178
911	1833	176
912	1835	174
913	1837	172
914	1839	170
915	1841	168
916	1843	166
917	1845	164
918	1847	162
919	1849	160
920	1851	158
921	1853	156
922	1855	154
923	1856	152
924	1858	150
925	1861	148
926	1863	146
927	1864	144
928	1866	142
929	1868	140
930	1870	138
931	1872	136
932	1874	134
933	1876	132
934	1878	130
935	1880	128
936	1882	126
937	1884	124
938	1886	122
939	1888	120
940	1890	118
941	1892	116
942	1894	114
943	1895	112
944	1897	110
945	1899	108
946	1901	106
947	1903	104
948	1905	102
949	1907	100
950	1909	98
951	1912	96
952	1914	94
953	1916	92
954	1918	90
955	1921	88
956	1923	86
957	1925	84
958	1928	82
959	1930	80
960	1932	78
961	1933	76
962	1935	74
963	1937	72
964	1939	70
965	1941	68
966	1943	66
967	1945	64
968	1947	62
969	1949	60
970	1951	58
971	1953	56
972	1954	54
973	1956	52
974	1958	50
975	1961	48
976	1963	46
977	1964	44
978	1966	42
979	1968	40
980	1970	38
981	1972	36
982	1974	34
983	1975	32
984	1977	30
985	1979	28
986	1981	26
987	1983	24
988	1985	22
